Symbol,SectorID,SectorName
3MINDIA.NS,3,Diversified
ABB.NS,4,Capital Goods
ACC.NS,5,Construction Materials
AIAENG.NS,4,Capital Goods
APLAPOLLO.NS,4,Capital Goods
AARTIIND.NS,6,Chemicals
ABBOTINDIA.NS,7,Healthcare
ACE.NS,4,Capital Goods
ADANIENT.NS,9,Metals & Mining
ADANIPORTS.NS,10,Services
ADANIPOWER.NS,8,Power
ABFRL.NS,13,Consumer Services
AJANTPHARM.NS,7,Healthcare
APLLTD.NS,7,Healthcare
ALKEM.NS,7,Healthcare
ALKYLAMINE.NS,6,Chemicals
ALLCARGO.NS,10,Services
ALOKINDS.NS,15,Textiles
AMBUJACEM.NS,5,Construction Materials
APARINDS.NS,4,Capital Goods
APOLLOHOSP.NS,7,Healthcare
APOLLOTYRE.NS,16,Automobile and Auto Components
ASAHIINDIA.NS,16,Automobile and Auto Components
ASHOKLEY.NS,4,Capital Goods
ASIANPAINT.NS,17,Consumer Durables
ASTRAZEN.NS,7,Healthcare
ASTRAL.NS,4,Capital Goods
ATUL.NS,6,Chemicals
AUROPHARMA.NS,7,Healthcare
AVANTIFEED.NS,12,Fast Moving Consumer Goods
AXISBANK.NS,2,Financial Services
BEML.NS,4,Capital Goods
BLS.NS,13,Consumer Services
BAJAJ-AUTO.NS,16,Automobile and Auto Components
BAJFINANCE.NS,2,Financial Services
BAJAJFINSV.NS,2,Financial Services
BAJAJHLDNG.NS,2,Financial Services
BALAMINES.NS,6,Chemicals
BALKRISIND.NS,16,Automobile and Auto Components
BALRAMCHIN.NS,12,Fast Moving Consumer Goods
BANKBARODA.NS,2,Financial Services
BANKINDIA.NS,2,Financial Services
MAHABANK.NS,2,Financial Services
BATAINDIA.NS,17,Consumer Durables
BAYERCROP.NS,6,Chemicals
BERGEPAINT.NS,17,Consumer Durables
BEL.NS,4,Capital Goods
BHARATFORG.NS,16,Automobile and Auto Components
BHEL.NS,4,Capital Goods
BPCL.NS,11,Oil Gas & Consumable Fuels
BHARTIARTL.NS,18,Telecommunication
BIOCON.NS,7,Healthcare
BIRLACORPN.NS,5,Construction Materials
BSOFT.NS,14,Information Technology
BLUEDART.NS,10,Services
BLUESTARCO.NS,17,Consumer Durables
BBTC.NS,12,Fast Moving Consumer Goods
BOSCHLTD.NS,16,Automobile and Auto Components
BRIGADE.NS,19,Realty
BRITANNIA.NS,12,Fast Moving Consumer Goods
CCL.NS,12,Fast Moving Consumer Goods
CESC.NS,8,Power
CGPOWER.NS,4,Capital Goods
CIEINDIA.NS,16,Automobile and Auto Components
CRISIL.NS,2,Financial Services
CANFINHOME.NS,2,Financial Services
CANBK.NS,2,Financial Services
CAPLIPOINT.NS,7,Healthcare
CGCL.NS,2,Financial Services
CARBORUNIV.NS,4,Capital Goods
CASTROLIND.NS,11,Oil Gas & Consumable Fuels
CEATLTD.NS,16,Automobile and Auto Components
CENTRALBK.NS,2,Financial Services
CENTURYPLY.NS,17,Consumer Durables
ABREL.NS,20,Forest Materials
CERA.NS,17,Consumer Durables
CHAMBLFERT.NS,6,Chemicals
CHENNPETRO.NS,11,Oil Gas & Consumable Fuels
CHOLAHLDNG.NS,2,Financial Services
CHOLAFIN.NS,2,Financial Services
CIPLA.NS,7,Healthcare
CUB.NS,2,Financial Services
COALINDIA.NS,11,Oil Gas & Consumable Fuels
COFORGE.NS,14,Information Technology
COLPAL.NS,12,Fast Moving Consumer Goods
CONCOR.NS,10,Services
COROMANDEL.NS,6,Chemicals
CROMPTON.NS,17,Consumer Durables
CUMMINSIND.NS,4,Capital Goods
CYIENT.NS,14,Information Technology
DCMSHRIRAM.NS,3,Diversified
DLF.NS,19,Realty
DABUR.NS,12,Fast Moving Consumer Goods
DEEPAKFERT.NS,6,Chemicals
DEEPAKNTR.NS,6,Chemicals
DIVISLAB.NS,7,Healthcare
LALPATHLAB.NS,7,Healthcare
DRREDDY.NS,7,Healthcare
EIDPARRY.NS,6,Chemicals
EIHOTEL.NS,13,Consumer Services
EPL.NS,4,Capital Goods
EICHERMOT.NS,16,Automobile and Auto Components
ELECON.NS,4,Capital Goods
ELGIEQUIP.NS,4,Capital Goods
EMAMILTD.NS,12,Fast Moving Consumer Goods
ENDURANCE.NS,16,Automobile and Auto Components
ENGINERSIN.NS,21,Construction
ESCORTS.NS,4,Capital Goods
EXIDEIND.NS,16,Automobile and Auto Components
FDC.NS,7,Healthcare
FEDERALBNK.NS,2,Financial Services
FACT.NS,6,Chemicals
FINCABLES.NS,4,Capital Goods
FINPIPE.NS,4,Capital Goods
FSL.NS,10,Services
FORTIS.NS,7,Healthcare
GAIL.NS,11,Oil Gas & Consumable Fuels
GILLETTE.NS,12,Fast Moving Consumer Goods
GLAXO.NS,7,Healthcare
GLENMARK.NS,7,Healthcare
GPIL.NS,4,Capital Goods
GODFRYPHLP.NS,12,Fast Moving Consumer Goods
GODREJCP.NS,12,Fast Moving Consumer Goods
GODREJIND.NS,3,Diversified
GODREJPROP.NS,19,Realty
GRANULES.NS,7,Healthcare
GRAPHITE.NS,4,Capital Goods
GRASIM.NS,5,Construction Materials
GESHIP.NS,10,Services
GRINDWELL.NS,4,Capital Goods
GAEL.NS,12,Fast Moving Consumer Goods
GUJGASLTD.NS,11,Oil Gas & Consumable Fuels
GMDCLTD.NS,9,Metals & Mining
GNFC.NS,6,Chemicals
GPPL.NS,10,Services
GSFC.NS,6,Chemicals
GSPL.NS,11,Oil Gas & Consumable Fuels
HEG.NS,4,Capital Goods
HCLTECH.NS,14,Information Technology
HDFCBANK.NS,2,Financial Services
HFCL.NS,18,Telecommunication
HAVELLS.NS,17,Consumer Durables
HEROMOTOCO.NS,16,Automobile and Auto Components
HSCL.NS,6,Chemicals
HINDALCO.NS,9,Metals & Mining
HINDCOPPER.NS,9,Metals & Mining
HINDPETRO.NS,11,Oil Gas & Consumable Fuels
HINDUNILVR.NS,12,Fast Moving Consumer Goods
HINDZINC.NS,9,Metals & Mining
HONAUT.NS,4,Capital Goods
ICICIBANK.NS,2,Financial Services
ICICIPRULI.NS,2,Financial Services
IDBI.NS,2,Financial Services
IDFCFIRSTB.NS,2,Financial Services
IFCI.NS,2,Financial Services
IIFL.NS,2,Financial Services
IRB.NS,21,Construction
ITC.NS,12,Fast Moving Consumer Goods
ITI.NS,18,Telecommunication
INDIACEM.NS,5,Construction Materials
INDIANB.NS,2,Financial Services
INDHOTEL.NS,13,Consumer Services
IOC.NS,11,Oil Gas & Consumable Fuels
IOB.NS,2,Financial Services
IGL.NS,11,Oil Gas & Consumable Fuels
INDUSTOWER.NS,18,Telecommunication
INDUSINDBK.NS,2,Financial Services
NAUKRI.NS,13,Consumer Services
INFY.NS,14,Information Technology
INOXWIND.NS,4,Capital Goods
INTELLECT.NS,14,Information Technology
INDIGO.NS,10,Services
IPCALAB.NS,7,Healthcare
JBCHEPHARM.NS,7,Healthcare
JKCEMENT.NS,5,Construction Materials
JBMA.NS,16,Automobile and Auto Components
JKLAKSHMI.NS,5,Construction Materials
JKPAPER.NS,20,Forest Materials
JMFINANCIL.NS,2,Financial Services
JSWENERGY.NS,8,Power
JSWSTEEL.NS,9,Metals & Mining
JAIBALAJI.NS,9,Metals & Mining
J&KBANK.NS,2,Financial Services
JINDALSAW.NS,4,Capital Goods
JSL.NS,9,Metals & Mining
JINDALSTEL.NS,9,Metals & Mining
JUBLFOOD.NS,13,Consumer Services
JUBLPHARMA.NS,7,Healthcare
JWL.NS,4,Capital Goods
JUSTDIAL.NS,13,Consumer Services
JYOTHYLAB.NS,12,Fast Moving Consumer Goods
KPRMILL.NS,15,Textiles
KEI.NS,4,Capital Goods
KNRCON.NS,21,Construction
KRBL.NS,12,Fast Moving Consumer Goods
KSB.NS,4,Capital Goods
KAJARIACER.NS,17,Consumer Durables
KANSAINER.NS,17,Consumer Durables
KARURVYSYA.NS,2,Financial Services
KEC.NS,21,Construction
KOTAKBANK.NS,2,Financial Services
LTF.NS,2,Financial Services
LTTS.NS,14,Information Technology
LICHSGFIN.NS,2,Financial Services
LTIM.NS,14,Information Technology
LT.NS,21,Construction
LAURUSLABS.NS,7,Healthcare
LINDEINDIA.NS,6,Chemicals
LUPIN.NS,7,Healthcare
MMTC.NS,10,Services
MRF.NS,16,Automobile and Auto Components
MGL.NS,11,Oil Gas & Consumable Fuels
MAHSEAMLES.NS,4,Capital Goods
M&MFIN.NS,2,Financial Services
M&M.NS,16,Automobile and Auto Components
MHRIL.NS,13,Consumer Services
MAHLIFE.NS,19,Realty
MANAPPURAM.NS,2,Financial Services
MRPL.NS,11,Oil Gas & Consumable Fuels
MARICO.NS,12,Fast Moving Consumer Goods
MARUTI.NS,16,Automobile and Auto Components
MASTEK.NS,14,Information Technology
MFSL.NS,2,Financial Services
MINDACORP.NS,16,Automobile and Auto Components
MOTILALOFS.NS,2,Financial Services
MPHASIS.NS,14,Information Technology
MCX.NS,2,Financial Services
MUTHOOTFIN.NS,2,Financial Services
NATCOPHARM.NS,7,Healthcare
NBCC.NS,21,Construction
NCC.NS,21,Construction
NHPC.NS,8,Power
NLCINDIA.NS,8,Power
NMDC.NS,9,Metals & Mining
NTPC.NS,8,Power
NH.NS,7,Healthcare
NATIONALUM.NS,9,Metals & Mining
NAVINFLUOR.NS,6,Chemicals
NESTLEIND.NS,12,Fast Moving Consumer Goods
NETWORK18.NS,22,Media Entertainment & Publication
OBEROIRLTY.NS,19,Realty
ONGC.NS,11,Oil Gas & Consumable Fuels
OIL.NS,11,Oil Gas & Consumable Fuels
OLECTRA.NS,16,Automobile and Auto Components
OFSS.NS,14,Information Technology
PCBL.NS,6,Chemicals
PIIND.NS,6,Chemicals
PNBHOUSING.NS,2,Financial Services
PNCINFRA.NS,21,Construction
PAGEIND.NS,15,Textiles
PATANJALI.NS,12,Fast Moving Consumer Goods
PERSISTENT.NS,14,Information Technology
PETRONET.NS,11,Oil Gas & Consumable Fuels
PHOENIXLTD.NS,19,Realty
PIDILITIND.NS,6,Chemicals
PEL.NS,2,Financial Services
POLYMED.NS,7,Healthcare
POONAWALLA.NS,2,Financial Services
PFC.NS,2,Financial Services
POWERGRID.NS,8,Power
PRAJIND.NS,4,Capital Goods
PRESTIGE.NS,19,Realty
PRSMJOHNSN.NS,5,Construction Materials
PGHH.NS,12,Fast Moving Consumer Goods
PNB.NS,2,Financial Services
QUESS.NS,10,Services
RBLBANK.NS,2,Financial Services
RECLTD.NS,2,Financial Services
RHIM.NS,4,Capital Goods
RADICO.NS,12,Fast Moving Consumer Goods
RAJESHEXPO.NS,17,Consumer Durables
RKFORGE.NS,16,Automobile and Auto Components
RCF.NS,6,Chemicals
RATNAMANI.NS,4,Capital Goods
RTNINDIA.NS,13,Consumer Services
RAYMOND.NS,15,Textiles
REDINGTON.NS,10,Services
RELIANCE.NS,11,Oil Gas & Consumable Fuels
SJVN.NS,8,Power
SKFINDIA.NS,4,Capital Goods
SRF.NS,6,Chemicals
SAMMAANCAP.NS,2,Financial Services
MOTHERSON.NS,16,Automobile and Auto Components
SANOFI.NS,7,Healthcare
SAREGAMA.NS,22,Media Entertainment & Publication
SCHAEFFLER.NS,16,Automobile and Auto Components
SCHNEIDER.NS,4,Capital Goods
SHREECEM.NS,5,Construction Materials
RENUKA.NS,12,Fast Moving Consumer Goods
SHRIRAMFIN.NS,2,Financial Services
SIEMENS.NS,4,Capital Goods
SOBHA.NS,19,Realty
SOLARINDS.NS,6,Chemicals
SONATSOFTW.NS,14,Information Technology
SBIN.NS,2,Financial Services
SAIL.NS,9,Metals & Mining
STLTECH.NS,18,Telecommunication
SPARC.NS,7,Healthcare
SUNPHARMA.NS,7,Healthcare
SUNTV.NS,22,Media Entertainment & Publication
SUNDARMFIN.NS,2,Financial Services
SUNDRMFAST.NS,16,Automobile and Auto Components
SUNTECK.NS,19,Realty
SUPREMEIND.NS,4,Capital Goods
SUZLON.NS,4,Capital Goods
SWANENERGY.NS,3,Diversified
SYNGENE.NS,7,Healthcare
TVSMOTOR.NS,16,Automobile and Auto Components
TANLA.NS,14,Information Technology
TATACHEM.NS,6,Chemicals
TATACOMM.NS,18,Telecommunication
TCS.NS,14,Information Technology
TATACONSUM.NS,12,Fast Moving Consumer Goods
TATAELXSI.NS,14,Information Technology
TATAINVEST.NS,2,Financial Services
TATAMOTORS.NS,16,Automobile and Auto Components
TATAPOWER.NS,8,Power
TATASTEEL.NS,9,Metals & Mining
TTML.NS,18,Telecommunication
TECHM.NS,14,Information Technology
RAMCOCEM.NS,5,Construction Materials
THERMAX.NS,4,Capital Goods
TIMKEN.NS,4,Capital Goods
TITAGARH.NS,4,Capital Goods
TITAN.NS,17,Consumer Durables
TORNTPHARM.NS,7,Healthcare
TORNTPOWER.NS,8,Power
TRENT.NS,13,Consumer Services
TRIDENT.NS,15,Textiles
TRIVENI.NS,12,Fast Moving Consumer Goods
TRITURBINE.NS,4,Capital Goods
UCOBANK.NS,2,Financial Services
UNOMINDA.NS,16,Automobile and Auto Components
UPL.NS,6,Chemicals
ULTRACEMCO.NS,5,Construction Materials
UNIONBANK.NS,2,Financial Services
UBL.NS,12,Fast Moving Consumer Goods
USHAMART.NS,4,Capital Goods
VGUARD.NS,17,Consumer Durables
VIPIND.NS,17,Consumer Durables
VAIBHAVGBL.NS,17,Consumer Durables
VTL.NS,15,Textiles
VBL.NS,12,Fast Moving Consumer Goods
VEDL.NS,9,Metals & Mining
IDEA.NS,18,Telecommunication
VOLTAS.NS,17,Consumer Durables
WELCORP.NS,4,Capital Goods
WELSPUNLIV.NS,15,Textiles
WHIRLPOOL.NS,17,Consumer Durables
WIPRO.NS,14,Information Technology
YESBANK.NS,2,Financial Services
ZFCVINDIA.NS,16,Automobile and Auto Components
ZEEL.NS,22,Media Entertainment & Publication
ZENSARTECH.NS,14,Information Technology
ZYDUSLIFE.NS,7,Healthcare
ECLERX.NS,10,Services
